"WBIC"	"DATETIME"	"DEPTH"	"WTEMP"
968800	"1992-09-14"	3.6576	15.55555556
968800	"1992-09-14"	4.572	15.55555556
968800	"1992-09-14"	6.096	15.55555556
968800	"1992-09-14"	7.62	15.55555556
968800	"1992-09-14"	8.8392	14.44444444
968800	"1992-10-06"	0.9144	12.77777778
968800	"1992-10-06"	2.7432	12.77777778
968800	"1992-10-06"	3.6576	12.77777778
968800	"1992-10-06"	4.572	12.77777778
968800	"1992-10-06"	6.096	12.22222222
968800	"1992-10-06"	7.62	12.22222222
968800	"1992-10-06"	8.8392	12.22222222
968800	"1993-05-12"	0.9144	12.77777778
968800	"1993-05-12"	2.7432	12.77777778
968800	"1993-05-12"	3.6576	12.77777778
968800	"1993-05-12"	4.572	12.77777778
968800	"1993-05-12"	6.096	11.66666667
968800	"1993-05-12"	7.62	11.11111111
968800	"1993-05-12"	9.144	11.11111111
968800	"1993-06-21"	0.9144	17.77777778
968800	"1993-06-21"	2.7432	17.77777778
968800	"1993-06-21"	3.6576	17.22222222
968800	"1993-06-21"	4.572	17.22222222
968800	"1993-06-21"	6.096	14.44444444
968800	"1993-06-21"	7.62	14.44444444
968800	"1993-06-21"	8.8392	13.33333333
968800	"1993-07-20"	0.9144	22.22222222
968800	"1993-07-20"	2.7432	22.22222222
968800	"1993-07-20"	3.6576	20.55555556
968800	"1993-07-20"	4.572	20.55555556
968800	"1993-07-20"	6.096	20.55555556
968800	"1993-07-20"	7.62	18.33333333
968800	"1993-07-20"	9.144	16.11111111
968800	"1993-08-16"	0.9144	23.88888889
968800	"1993-08-16"	2.7432	23.33333333
968800	"1993-08-16"	3.6576	22.77777778
968800	"1993-08-16"	4.572	21.66666667
968800	"1993-08-16"	6.096	20
968800	"1993-08-16"	7.62	18.88888889
968800	"1993-08-16"	8.8392	18.33333333
968800	"1993-09-19"	0.9144	15.55555556
968800	"1993-09-19"	2.7432	15.55555556
968800	"1993-09-19"	3.6576	15.55555556
968800	"1993-09-19"	4.572	15.55555556
968800	"1993-09-19"	6.096	15.55555556
968800	"1993-09-19"	7.62	15
968800	"1993-09-19"	8.8392	15
968800	"1994-05-23"	0.9144	18.33333333
968800	"1994-05-23"	2.7432	16.66666667
968800	"1994-05-23"	3.6576	15
968800	"1994-05-23"	4.572	13.33333333
968800	"1994-05-23"	6.096	12.77777778
968800	"1994-05-23"	7.62	12.22222222
968800	"1994-05-23"	9.144	11.11111111
968800	"1994-06-27"	0.9144	23.33333333
968800	"1994-06-27"	2.7432	23.33333333
968800	"1994-06-27"	3.6576	23.33333333
968800	"1994-06-27"	4.572	23.33333333
968800	"1994-06-27"	6.096	22.22222222
968800	"1994-06-27"	7.62	15.55555556
968800	"1994-06-27"	8.5344	12.22222222
968800	"1994-07-27"	0.9144	21.11111111
968800	"1994-07-27"	2.7432	21.11111111
968800	"1994-07-27"	3.6576	21.11111111
968800	"1994-07-27"	4.572	21.11111111
968800	"1994-07-27"	6.096	20
968800	"1994-07-27"	7.62	17.77777778
968800	"1994-07-27"	8.8392	15.55555556
968800	"1994-08-29"	0.9144	20
968800	"1994-08-29"	2.7432	20
968800	"1994-08-29"	3.6576	20
968800	"1994-08-29"	4.572	20
968800	"1994-08-29"	6.096	20
968800	"1994-08-29"	7.62	18.33333333
968800	"1994-08-29"	8.2296	17.22222222
968800	"1994-09-28"	0.9144	15.55555556
968800	"1994-09-28"	2.7432	15.55555556
968800	"1994-09-28"	3.6576	15.55555556
968800	"1994-09-28"	4.572	16.11111111
968800	"1994-09-28"	6.096	16.66666667
968800	"1994-09-28"	7.62	16.66666667
968800	"1994-09-28"	8.2296	16.66666667
968800	"1995-05-15"	0.9144	12.22222222
968800	"1995-05-15"	2.7432	11.11111111
968800	"1995-05-15"	3.6576	10
968800	"1995-05-15"	4.572	10
968800	"1995-05-15"	6.096	10
968800	"1995-05-15"	7.62	10
968800	"1995-05-15"	8.8392	8.888888889
968800	"1995-06-27"	0.9144	25.55555556
968800	"1995-06-27"	2.7432	25.55555556
968800	"1995-06-27"	3.6576	25
968800	"1995-06-27"	4.572	24.44444444
968800	"1995-06-27"	6.096	21.66666667
968800	"1995-06-27"	7.62	18.33333333
968800	"1995-06-27"	8.8392	15.55555556
968800	"1995-07-25"	0.9144	23.33333333
968800	"1995-07-25"	2.7432	23.33333333
968800	"1995-07-25"	3.6576	22.77777778
968800	"1995-07-25"	4.572	22.77777778
968800	"1995-07-25"	6.096	21.11111111
968800	"1995-07-25"	7.3152	17.77777778
968800	"1995-08-28"	0.9144	22.22222222
968800	"1995-08-28"	2.7432	22.22222222
968800	"1995-08-28"	3.6576	22.22222222
968800	"1995-08-28"	4.572	21.11111111
968800	"1995-08-28"	6.096	21.11111111
968800	"1995-08-28"	7.62	20.55555556
968800	"1995-08-28"	8.2296	20
968800	"1996-07-29"	2.7432	19.44444444
968800	"1996-07-29"	3.6576	19.44444444
968800	"1996-07-29"	4.572	19.44444444
968800	"1996-07-29"	6.096	19.44444444
968800	"1996-07-29"	7.62	13.88888889
968800	"1996-07-29"	9.144	10.55555556
968800	"1996-08-25"	0.9144	21.66666667
968800	"1996-08-25"	1.8288	21.66666667
968800	"1996-08-25"	2.7432	21.66666667
968800	"1996-08-25"	3.6576	21.11111111
968800	"1996-08-25"	4.572	21.11111111
968800	"1996-08-25"	6.096	18.88888889
968800	"1996-08-25"	7.62	13.33333333
968800	"1996-08-25"	8.5344	13.33333333
968800	"1996-09-29"	0.9144	14.44444444
968800	"1996-09-29"	1.8288	14.44444444
968800	"1996-09-29"	2.7432	14.44444444
968800	"1996-09-29"	3.6576	14.44444444
968800	"1996-09-29"	4.572	14.44444444
968800	"1996-09-29"	6.096	14.44444444
968800	"1996-09-29"	7.62	14.44444444
968800	"1996-09-29"	9.144	14.44444444
968800	"1997-06-02"	0.9144	17.77777778
968800	"1997-06-02"	1.8288	16.66666667
968800	"1997-06-02"	2.7432	15.55555556
968800	"1997-06-02"	3.6576	13.88888889
968800	"1997-06-02"	4.572	13.88888889
968800	"1997-06-02"	6.096	12.77777778
968800	"1997-06-02"	7.62	11.11111111
968800	"1997-07-12"	0.9144	21.66666667
968800	"1997-07-12"	1.8288	21.66666667
968800	"1997-07-12"	2.7432	21.11111111
968800	"1997-07-12"	3.6576	21.11111111
968800	"1997-07-12"	4.572	20.55555556
968800	"1997-07-12"	6.096	18.88888889
968800	"1997-07-12"	7.62	13.88888889
968800	"1997-07-12"	9.144	12.77777778
968800	"1997-08-24"	0.9144	19.44444444
968800	"1997-08-24"	1.8288	19.44444444
968800	"1997-08-24"	2.7432	18.88888889
968800	"1997-08-24"	3.6576	18.88888889
968800	"1997-08-24"	4.572	18.88888889
968800	"1997-08-24"	6.096	18.88888889
968800	"1997-08-24"	7.62	18.33333333
968800	"1997-08-24"	9.144	15
968800	"1997-10-04"	0.9144	15.55555556
968800	"1997-10-04"	1.8288	15.55555556
968800	"1997-10-04"	2.7432	15.55555556
968800	"1997-10-04"	3.6576	15.55555556
968800	"1997-10-04"	4.572	15.55555556
968800	"1997-10-04"	6.096	15
968800	"1997-10-04"	7.62	15
968800	"1997-10-04"	9.144	15
968800	"1998-04-26"	0.9144	10
968800	"1998-04-26"	1.8288	10
968800	"1998-04-26"	2.7432	10
968800	"1998-04-26"	3.6576	10
968800	"1998-04-26"	4.572	8.888888889
968800	"1998-04-26"	6.096	8.888888889
968800	"1998-04-26"	7.62	8.333333333
968800	"1998-04-26"	9.144	7.222222222
968800	"1998-06-21"	0.9144	22.77777778
968800	"1998-06-21"	1.8288	22.77777778
968800	"1998-06-21"	2.7432	22.77777778
968800	"1998-06-21"	3.6576	22.22222222
968800	"1998-06-21"	4.572	20.55555556
968800	"1998-06-21"	6.096	18.33333333
968800	"1998-06-21"	7.62	16.66666667
968800	"1998-06-21"	9.144	16.11111111
968800	"1998-08-01"	0.9144	23.33333333
968800	"1998-08-01"	1.8288	22.77777778
968800	"1998-08-01"	2.7432	22.77777778
968800	"1998-08-01"	3.6576	22.77777778
968800	"1998-08-01"	4.572	22.77777778
968800	"1998-08-01"	6.096	22.22222222
968800	"1998-08-01"	7.62	20
968800	"1998-08-01"	9.144	18.88888889
968800	"1998-09-12"	0.9144	21.66666667
968800	"1998-09-12"	1.8288	21.11111111
968800	"1998-09-12"	2.7432	20.55555556
968800	"1998-09-12"	3.6576	20.55555556
968800	"1998-09-12"	4.572	20.55555556
968800	"1998-09-12"	6.096	20.55555556
968800	"1998-09-12"	7.62	20
968800	"1998-09-27"	0.9144	17.77777778
968800	"1998-09-27"	1.8288	17.77777778
968800	"1998-09-27"	3.6576	17.77777778
968800	"1998-09-27"	4.572	17.77777778
968800	"1998-09-27"	6.096	17.77777778
968800	"1998-09-27"	7.62	17.77777778
968800	"1998-09-27"	9.144	17.77777778
968800	"1999-05-15"	0.9144	14.44444444
968800	"1999-05-15"	1.8288	13.88888889
968800	"1999-05-15"	2.7432	13.88888889
968800	"1999-05-15"	3.6576	13.33333333
968800	"1999-05-15"	4.572	13.33333333
968800	"1999-05-15"	6.096	12.77777778
968800	"1999-05-15"	7.62	11.11111111
968800	"1999-05-15"	9.144	9.444444444
968800	"1999-06-13"	0.9144	22.22222222
968800	"1999-06-13"	1.8288	21.66666667
968800	"1999-06-13"	2.7432	21.66666667
968800	"1999-06-13"	3.6576	20.55555556
968800	"1999-06-13"	4.572	19.44444444
968800	"1999-06-13"	6.096	17.77777778
968800	"1999-06-13"	7.62	15
968800	"1999-06-13"	9.144	14.44444444
968800	"1999-06-19"	0.9144	15.55555556
968800	"1999-06-19"	1.8288	15.55555556
968800	"1999-06-19"	2.7432	15.55555556
968800	"1999-06-19"	3.6576	15.55555556
968800	"1999-06-19"	4.572	15.55555556
968800	"1999-06-19"	6.096	15.55555556
968800	"1999-06-19"	7.62	15.55555556
968800	"1999-06-19"	9.144	15.55555556
968800	"1999-07-11"	0.9144	21.66666667
968800	"1999-07-11"	1.8288	21.11111111
968800	"1999-07-11"	2.7432	21.11111111
968800	"1999-07-11"	3.6576	21.11111111
968800	"1999-07-11"	4.572	21.11111111
968800	"1999-07-11"	6.096	20.55555556
968800	"1999-07-11"	7.62	19.44444444
968800	"1999-07-11"	9.144	20
968800	"1999-08-15"	0.9144	21.11111111
968800	"1999-08-15"	1.8288	21.11111111
968800	"1999-08-15"	2.7432	21.11111111
968800	"1999-08-15"	3.6576	21.11111111
968800	"1999-08-15"	4.572	21.11111111
968800	"1999-08-15"	6.096	21.11111111
968800	"1999-08-15"	7.62	20.55555556
968800	"1999-08-15"	9.144	19.44444444
968800	"1999-09-24"	0.9144	15.55555556
968800	"1999-09-24"	1.8288	15.55555556
968800	"1999-09-24"	2.7432	15.55555556
968800	"1999-09-24"	3.6576	15.55555556
968800	"1999-09-24"	4.572	15.55555556
968800	"1999-09-24"	6.096	15.55555556
968800	"1999-09-24"	7.62	15.55555556
968800	"1999-09-24"	9.144	15.55555556
968800	"2000-05-07"	0.9144	16.66666667
968800	"2000-05-07"	1.8288	15.55555556
968800	"2000-05-07"	2.7432	15
968800	"2000-05-07"	3.6576	13.88888889
968800	"2000-05-07"	4.572	13.33333333
968800	"2000-05-07"	6.096	11.66666667
968800	"2000-05-07"	7.62	9.444444444
968800	"2000-05-07"	9.144	8.888888889
968800	"2000-06-17"	0.9144	18.88888889
968800	"2000-06-17"	1.8288	18.33333333
968800	"2000-06-17"	2.7432	18.33333333
968800	"2000-06-17"	3.6576	18.33333333
968800	"2000-06-17"	4.572	18.33333333
968800	"2000-06-17"	6.096	17.77777778
968800	"2000-06-17"	7.62	16.66666667
968800	"2000-06-17"	9.144	15
968800	"2000-09-18"	0.9144	17.77777778
968800	"2000-09-18"	1.8288	17.77777778
968800	"2000-09-18"	2.7432	17.77777778
968800	"2000-09-18"	3.6576	17.77777778
968800	"2000-09-18"	4.572	17.77777778
968800	"2000-09-18"	6.096	17.77777778
968800	"2000-09-18"	7.62	17.77777778
968800	"2000-09-18"	9.144	17.77777778
968800	"2001-05-19"	0.9144	14.44444444
968800	"2001-05-19"	1.8288	13.88888889
968800	"2001-05-19"	2.7432	13.33333333
968800	"2001-05-19"	3.6576	13.33333333
968800	"2001-05-19"	4.572	13.33333333
968800	"2001-05-19"	6.096	13.33333333
968800	"2001-05-19"	7.62	12.22222222
968800	"2001-05-19"	9.144	11.66666667
968800	"2001-06-17"	0.9144	20
968800	"2001-06-17"	1.8288	20
968800	"2001-06-17"	2.7432	19.44444444
968800	"2001-06-17"	3.6576	18.88888889
968800	"2001-06-17"	4.572	17.77777778
968800	"2001-06-17"	6.096	15.55555556
968800	"2001-06-17"	7.62	14.44444444
968800	"2001-06-17"	9.144	13.88888889
968800	"2001-07-13"	0.9144	22.77777778
968800	"2001-07-13"	1.8288	22.77777778
968800	"2001-07-13"	2.7432	22.77777778
968800	"2001-07-13"	3.6576	22.77777778
968800	"2001-07-13"	4.572	22.22222222
968800	"2001-07-13"	6.096	20.55555556
968800	"2001-07-13"	7.62	16.11111111
968800	"2001-07-13"	9.144	15
968800	"2001-08-18"	0.9144	21.66666667
968800	"2001-08-18"	1.8288	21.66666667
968800	"2001-08-18"	2.7432	21.66666667
968800	"2001-08-18"	3.6576	21.66666667
968800	"2001-08-18"	4.572	21.66666667
968800	"2001-08-18"	6.096	20
968800	"2001-08-18"	9.144	18.88888889
968800	"2001-09-29"	0.9144	15
968800	"2001-09-29"	1.8288	15
968800	"2001-09-29"	2.7432	15
968800	"2001-09-29"	3.6576	15
968800	"2001-09-29"	4.572	15
968800	"2001-09-29"	6.096	15
968800	"2001-09-29"	7.62	15
968800	"2001-09-29"	9.144	15
968800	"2002-05-26"	0.9144	11.66666667
968800	"2002-05-26"	1.8288	11.11111111
968800	"2002-05-26"	2.7432	11.11111111
968800	"2002-05-26"	3.6576	11.11111111
968800	"2002-05-26"	4.572	11.11111111
968800	"2002-05-26"	6.096	11.11111111
968800	"2002-05-26"	7.62	11.11111111
968800	"2002-05-26"	9.144	11.11111111
968800	"2002-06-09"	0.9144	17.77777778
968800	"2002-06-09"	1.8288	17.22222222
968800	"2002-06-09"	2.7432	17.22222222
968800	"2002-06-09"	3.6576	17.22222222
968800	"2002-06-09"	4.572	16.66666667
968800	"2002-06-09"	6.096	16.11111111
968800	"2002-06-09"	7.62	15.55555556
968800	"2002-06-09"	9.144	13.33333333
968800	"2002-06-26"	0.9144	22.22222222
968800	"2002-06-26"	1.8288	21.66666667
968800	"2002-06-26"	2.7432	21.66666667
968800	"2002-06-26"	3.6576	21.66666667
968800	"2002-06-26"	4.572	19.44444444
968800	"2002-06-26"	6.096	17.22222222
968800	"2002-06-26"	7.62	15
968800	"2002-06-26"	9.144	13.88888889
968800	"2002-07-21"	0.9144	25.55555556
968800	"2002-07-21"	1.8288	25.55555556
968800	"2002-07-21"	2.7432	25.55555556
968800	"2002-07-21"	3.6576	25.55555556
968800	"2002-07-21"	4.572	25.55555556
968800	"2002-07-21"	6.096	22.22222222
968800	"2002-07-21"	7.62	17.77777778
968800	"2002-07-21"	9.144	15.55555556
968800	"2002-08-10"	0.9144	23.88888889
968800	"2002-08-10"	1.8288	23.88888889
968800	"2002-08-10"	2.7432	23.88888889
968800	"2002-08-10"	3.6576	23.88888889
968800	"2002-08-10"	4.572	23.88888889
968800	"2002-08-10"	6.096	23.88888889
968800	"2002-08-10"	7.62	20.55555556
968800	"2002-08-10"	9.144	17.22222222
968800	"2002-09-29"	0.9144	15.55555556
968800	"2002-09-29"	1.8288	15.55555556
968800	"2002-09-29"	2.7432	15.55555556
968800	"2002-09-29"	3.6576	15.55555556
968800	"2002-09-29"	4.572	15.55555556
968800	"2002-09-29"	6.096	15.55555556
968800	"2002-09-29"	7.62	15.55555556
968800	"2002-09-29"	9.144	15.55555556
968800	"2002-10-05"	0.9144	14.44444444
968800	"2002-10-05"	1.8288	14.44444444
968800	"2002-10-05"	2.7432	14.44444444
968800	"2002-10-05"	3.6576	14.44444444
968800	"2002-10-05"	4.572	14.44444444
968800	"2002-10-05"	6.096	14.44444444
968800	"2002-10-05"	7.62	14.44444444
968800	"2002-10-05"	9.144	14.44444444
968800	"2003-05-25"	0.9144	15
968800	"2003-05-25"	1.8288	14.44444444
968800	"2003-05-25"	2.7432	14.44444444
968800	"2003-05-25"	3.6576	14.44444444
968800	"2003-05-25"	4.572	14.44444444
968800	"2003-05-25"	6.096	13.33333333
968800	"2003-05-25"	7.62	11.66666667
968800	"2003-05-25"	9.144	11.11111111
968800	"2003-06-15"	0.9144	19.44444444
968800	"2003-06-15"	1.8288	18.88888889
968800	"2003-06-15"	2.7432	18.88888889
968800	"2003-06-15"	3.6576	18.33333333
968800	"2003-06-15"	4.572	17.77777778
968800	"2003-06-15"	6.096	17.77777778
968800	"2003-06-15"	7.62	15
968800	"2003-06-15"	9.144	13.88888889
968800	"2003-07-12"	0.9144	21.66666667
968800	"2003-07-12"	1.8288	21.66666667
968800	"2003-07-12"	2.7432	21.66666667
968800	"2003-07-12"	3.6576	21.11111111
968800	"2003-07-12"	4.572	21.11111111
968800	"2003-07-12"	6.096	20.55555556
968800	"2003-07-12"	7.62	16.66666667
968800	"2003-07-12"	9.144	15.55555556
968800	"2003-08-10"	0.9144	23.33333333
968800	"2003-08-10"	1.8288	23.33333333
968800	"2003-08-10"	2.7432	22.77777778
968800	"2003-08-10"	3.6576	22.77777778
968800	"2003-08-10"	4.572	22.22222222
968800	"2003-08-10"	6.096	22.22222222
968800	"2003-08-10"	7.62	20.55555556
968800	"2003-08-10"	9.144	16.11111111
968800	"2003-09-20"	0.9144	18.88888889
968800	"2003-09-20"	1.8288	18.88888889
968800	"2003-09-20"	2.7432	18.33333333
968800	"2003-09-20"	3.6576	18.33333333
968800	"2003-09-20"	4.572	18.33333333
968800	"2003-09-20"	6.096	18.33333333
968800	"2003-09-20"	7.62	17.77777778
968800	"2003-09-20"	9.144	17.77777778
968800	"2003-10-11"	0.9144	13.33333333
968800	"2003-10-11"	1.8288	13.33333333
968800	"2003-10-11"	2.7432	13.33333333
968800	"2003-10-11"	3.6576	12.77777778
968800	"2003-10-11"	4.572	12.77777778
968800	"2003-10-11"	6.096	12.22222222
968800	"2003-10-11"	7.62	12.22222222
968800	"2004-05-16"	0.9144	11.66666667
968800	"2004-05-16"	1.8288	11.66666667
968800	"2004-05-16"	2.7432	11.66666667
968800	"2004-05-16"	3.6576	11.66666667
968800	"2004-05-16"	4.572	11.11111111
968800	"2004-05-16"	6.096	11.11111111
968800	"2004-05-16"	7.62	9.444444444
968800	"2004-05-16"	9.144	8.888888889
968800	"2004-06-06"	0.9144	16.66666667
968800	"2004-06-06"	1.8288	16.11111111
968800	"2004-06-06"	2.7432	15.55555556
968800	"2004-06-06"	3.6576	14.44444444
968800	"2004-06-06"	4.572	13.88888889
968800	"2004-06-06"	6.096	13.33333333
968800	"2004-06-06"	7.62	12.77777778
968800	"2004-06-06"	9.144	12.77777778
968800	"2004-07-10"	0.9144	19.44444444
968800	"2004-07-10"	1.8288	18.88888889
968800	"2004-07-10"	2.7432	18.33333333
968800	"2004-07-10"	3.6576	18.33333333
968800	"2004-07-10"	4.572	17.77777778
968800	"2004-07-10"	6.096	17.77777778
968800	"2004-07-10"	7.62	16.66666667
968800	"2004-07-10"	9.144	15
968800	"2004-08-07"	0.9144	22.22222222
968800	"2004-08-07"	1.8288	22.22222222
968800	"2004-08-07"	2.7432	22.22222222
968800	"2004-08-07"	3.6576	22.22222222
968800	"2004-08-07"	4.572	22.22222222
968800	"2004-08-07"	6.096	21.66666667
968800	"2004-08-07"	7.62	18.33333333
968800	"2004-08-07"	9.144	16.11111111
968800	"2004-09-18"	0.9144	18.88888889
968800	"2004-09-18"	1.8288	18.88888889
968800	"2004-09-18"	2.7432	18.33333333
968800	"2004-09-18"	3.6576	18.33333333
968800	"2004-09-18"	4.572	18.33333333
968800	"2004-09-18"	6.096	18.33333333
968800	"2004-09-18"	7.62	18.33333333
968800	"2004-09-18"	9.144	17.77777778
968800	"2004-10-06"	0.9144	13.88888889
968800	"2004-10-06"	1.8288	13.88888889
968800	"2004-10-06"	2.7432	13.33333333
968800	"2004-10-06"	3.6576	13.33333333
968800	"2004-10-06"	4.572	13.33333333
968800	"2004-10-06"	6.096	13.33333333
968800	"2004-10-06"	7.62	13.33333333
968800	"2004-10-06"	9.144	13.33333333
968800	"2005-05-16"	0.9144	11.11111111
